	logFC	AveExpr	t	P.Value	adj.P.Val	B
A1BG	0.2664152161995359	3.0087158478298286	2.675099974906724	0.008355535228541714	0.054013380124714766	-2.8689884864705264
A1BG-AS1	-0.1654910650603546	0.9618005651236161	-1.1494152213462043	0.2523330912704734	0.46666872723157427	-5.344466366459948
A2M	0.3518372263719254	7.500716098362644	1.7972958507179673	0.07443145326125085	0.22020606247832955	-4.948522915216674
A2M-AS1	0.41454114821590005	1.422920075019255	3.300485272386987	0.0012228525191336696	0.015123807692792278	-1.0511576668209068
A2ML1	0.36669994948247076	1.9253531203334417	1.8025931341891122	0.07359055964861734	0.21882156205632733	-4.545349028020512
A2MP1	0.4565680617654476	-0.773545737088305	2.9524486392839346	0.0036948800834217628	0.031306568135400614	-1.9359986336799113
A4GALT	0.31222462393336814	1.9373115977839683	1.6976221199974963	0.09178779216637249	0.2505868591989065	-4.718325299551079
AAAS	0.25069962660874	5.230388685038166	3.7545983325710663	0.0002532346992360212	0.005260518513904043	0.06228669127676234
AACS	-0.15891653399677264	5.163922588563569	-1.1845802231484954	0.2381787438947386	0.45144292315224027	-5.871773146635805
AADAT	-0.00633684248901023	3.300327195399148	-0.02449162934322769	0.9804951295562481	0.990697439301528	-6.306190765471036
AAGAB	-0.23215680458605892	5.274506128766415	-3.024208572896096	0.0029633700578529333	0.026688007890869666	-2.1946634937689264
AAK1	-0.31346308787097055	7.215108665962532	-2.4885745172085194	0.013990849854050748	0.07553512468342678	-3.5508732882972485
AAMDC	0.1857534332320565	1.7481109415029488	1.5056115135253252	0.134406554454589	0.3185513985767603	-4.984171261601846
AAMP	-0.06636076226578247	6.622024107162389	-1.6136446902920565	0.10884301247499778	0.2784282052021393	-5.294370666253868
AANAT	0.2613390246249355	-0.6667791367081445	1.6626653452969604	0.09860351792966118	0.2626316956307752	-4.558708388379827
AAR2	0.12826870275583957	4.462225590198737	2.613132880378287	0.009946000320378236	0.0602821997520151	-3.212955012871834
AARD	-0.6176119885770791	0.1644357736354558	-2.1483793550899244	0.03339407995927029	0.13224463374229056	-3.775910118168522
AARS1	-0.09682089028693674	7.891764117735215	-1.666734815055796	0.09778964617456311	0.26138623113165455	-5.144202560793238
AARS2	-0.16348680574881236	4.54615784441191	-1.8547065990753242	0.06572931757806648	0.20338490348778648	-4.830531611145642
AARSD1	0.06673356836337074	5.171908090706524	1.014924410221881	0.31188234850137725	0.5291284992984727	-6.054891479225389
AASDH	0.039801442398376796	3.6000776327441018	0.3660141487758254	0.7149037527200137	0.8504219590228407	-6.295061162473314
AASDHPPT	-0.08728595130750794	6.3260198590384755	-0.9314163107679684	0.353232220534463	0.5695809126019359	-6.151126545211698
AASS	-0.13788839048963863	3.2097214871851962	-0.6809941157496919	0.4969934050233772	0.6968042209145529	-6.064644193010191
AATBC	-0.06752190276921632	0.14759998932181762	-0.3274131570725111	0.7438416045685898	0.8657656283956477	-5.836466302908179
AATF	0.13283146531774115	5.11777423663458	1.9671122153899843	0.05113561399725689	0.17270879431613692	-4.674150606629166
