	logFC	AveExpr	t	P.Value	adj.P.Val	B
A1BG	0.10545573591855373	2.3540840013915894	0.6297069795991009	0.5307065182852029	0.9396462322348957	-4.740469298604851
A1BG-AS1	-0.050416089674167885	0.8255710401349416	-0.27546533043556043	0.7836792478883269	0.9748161637606603	-4.72569599869025
A2M	0.16420026391873144	10.21627152715984	1.1202785996883187	0.26599521950891475	0.8729549154077691	-4.622657279152038
A2M-AS1	0.24370961271703395	2.025084373987296	1.9418656529034906	0.055724429651383245	0.8250568741881168	-4.1989616010082536
A2ML1	0.5892039505987025	-0.9480565510508974	1.6884178473932698	0.09528193496313217	0.8336811342884629	-4.448401893744954
A2MP1	0.06198101230981799	0.08584617158317376	0.32495393655826416	0.7460764204994439	0.9702668154074389	-4.702151917658829
A4GALT	0.12246334688104454	5.517321481668609	0.7856602102759962	0.43442077903988174	0.9185455571230653	-4.883548168424424
AAAS	-0.07936175980278559	5.708961519191892	-1.316600286081382	0.19178616897229214	0.8554131778133348	-4.543170089566085
AACS	-0.5932772555602757	6.190760796729617	-2.279598296831168	0.02533432258861616	0.8250568741881168	-3.5170684502488667
AADAC	0.03811889370608901	0.9688981045739465	0.06169509978136132	0.9509617364056984	0.9978610628525544	-4.739495060931312
AADAT	0.2866807541852867	2.5275307970975947	2.2269294069065526	0.028804045653757947	0.8250568741881168	-3.9483978214724766
AAGAB	-0.10753874068302949	5.173465583306768	-1.4286432714959627	0.1570556653557315	0.8514468763565443	-4.445772671127714
AAK1	0.026414883752496898	5.923279702419771	0.27897095190344234	0.7809973821670497	0.9748161637606603	-5.057344605522497
AAMDC	-0.01077655700926039	3.2693548881641674	-0.08931200272724532	0.9290603877958864	0.9960926902472752	-4.887374554788927
AAMP	-0.10840231053313776	6.983028389408572	-1.2658325018351102	0.2092998769416097	0.8582215224821815	-4.574226792497626
AAR2	-0.14988247704250046	5.6467575870363635	-2.1598413764193998	0.03382263204483018	0.8250568741881168	-3.671896181216755
AARS1	-0.09738360419222492	7.143533973527612	-1.0854075716253118	0.2810480369765389	0.8749108563519729	-4.696828741491327
AARS2	-0.024493223176085266	4.228612054639471	-0.25253199443112573	0.8012869369328649	0.9782563231889374	-4.97069200626102
AARSD1	-0.08563445968292616	4.795960351795247	-1.50624606150978	0.13599928153888768	0.8400362794221813	-4.376389438607701
AARSD1P1	-0.13498617315127603	-1.7640287199382383	-0.6144456897552281	0.5406895664958	0.940891544480932	-4.6476087516892175
AASDH	-0.016763639491638394	4.001064692764298	-0.20626353788826005	0.8371166422715031	0.9827518677515165	-4.954046026257423
AASDHPPT	0.028764674727005612	4.73832899898661	0.4978819345093591	0.6199528281881265	0.9545646686319333	-4.96027603142052
AASS	-0.03509372517707021	5.834420980406835	-0.1706605483854815	0.8649277814934522	0.9873642763483204	-5.072207137412139
AATBC	-0.2138186589415035	0.04798234774512074	-1.0130736415973274	0.3141231688327239	0.8888479543610899	-4.605003088271056
AATF	-0.04352520348748534	5.641507549347357	-0.5925347644036442	0.5551877971234466	0.9437712725647085	-4.968750574718686
AATK	-0.2144274827980741	3.5037308882854723	-0.9377494434522025	0.3512363085608664	0.8945064816844635	-4.705363063404048
ABALON	-0.020112985191303112	-1.6936600468921832	-0.11421144333426803	0.9093604583797514	0.9937477703588027	-4.676081107250261
ABAT	-0.1937295036406841	4.284305469092093	-1.0991166683741158	0.27506133091912016	0.8740090917221826	-4.661329970692665
ABCA1	0.07331540104581435	6.92867672421172	0.365909694731126	0.7154121953154713	0.9672773456398773	-5.017226805467713
ABCA10	0.38535823929091073	5.427491930852087	1.97781946115636	0.051442286590073556	0.8250568741881168	-3.8945308088358237
ABCA11P	0.005810955706412324	1.2135769413744129	0.04397362846572823	0.9650365788262374	0.9978610628525544	-4.748871583349888
ABCA17P	-0.052174598036219655	-0.39520786219469356	-0.2705830200198885	0.7874186673157015	0.9754562208352631	-4.694590404876846
ABCA2	-0.003064797698489663	6.548205978812945	-0.025836508170176957	0.9794530090672088	0.9982278837447378	-5.071784597388791
ABCA3	-0.1443830090906415	5.308130382303374	-1.1072712506144948	0.2715426321537702	0.8730094513316193	-4.692307400361564
ABCA4	-0.10097087056456777	1.2364673103024273	-0.3922177880264429	0.6959553109741494	0.9627118565323006	-4.729323644563931
ABCA5	0.037635353864542864	6.528607085394642	0.3053028656619693	0.7609398666543715	0.9715167952441633	-5.043584413707963
ABCA6	0.2866230716944598	6.290928987876747	1.705070780242	0.09211773535785882	0.8316430005325484	-4.188874816023157
ABCA7	0.049249522385498956	5.0017877260410195	0.35839386636556564	0.7210061946516066	0.9675418197259628	-5.012839911336895
ABCA8	0.18763111508757913	6.5884449089483414	0.9478502742436313	0.346101194542654	0.8918318431573765	-4.793718480751055
ABCA9	0.19597608996969917	6.835135235651507	1.0607571228557702	0.2920381971642746	0.8813180641461916	-4.719535319283511
ABCB1	-0.2485923858061545	3.9628210866138582	-1.106100309649078	0.27204595203955195	0.8732182117508311	-4.643317681321377
ABCB10	0.015623314429475066	4.487334379311642	0.19322469850175983	0.8472797837353137	0.9854319394725828	-5.001821452628243
