	logFC	AveExpr	t	P.Value	adj.P.Val	B
A1BG	1.0401146385479945	1.7239958288869546	3.0850876390353728	0.0030095800780306054	0.014227022536297495	-1.7588977020850134
A1BG-AS1	0.4259617677277932	-0.1521028580609414	1.8695637085009031	0.06614381145214025	0.13831770105578858	-4.157478290921416
A2M	0.08074247495217612	9.90785482082001	0.49690504153590803	0.6209673566962348	0.721241741371416	-5.955783514882542
A2M-AS1	0.16331695828873682	2.3783927678877883	0.8810015870986336	0.3816303096734892	0.509779575058621	-5.670062637769098
A2ML1	-0.2961151626535652	-1.3048747563285517	-0.7740701405524312	0.4417539470130193	0.5676792062685084	-5.30813684415928
A2MP1	0.6446799139682869	-0.6917093481365475	2.5420087498339687	0.013466224461046106	0.041756589388096045	-2.9154766127521934
A4GALT	0.20687237858053553	6.692993353685896	1.5452683300269663	0.12723725841020192	0.22608429690709395	-5.218400016293122
AAAS	0.14052833902829853	5.463966367325853	1.4249901138236487	0.15904335099895012	0.26700369704461585	-5.432101398483
AACS	-0.16268189194880112	4.421716337005799	-1.5720648465127354	0.12089170524825851	0.21791378883345403	-5.168601558219405
AADAT	0.19233584512475832	1.8300420305485994	1.3452157788213732	0.18332698131594158	0.2968287658070334	-5.103484851414374
AAGAB	-0.3915915192005768	4.9543830425547055	-3.176411077318959	0.0022998102454399494	0.011690262946460547	-1.7852731380658025
AAK1	-0.47996357925525857	6.4375161104407805	-3.1935853897470907	0.002185240527791817	0.011303997387101642	-1.7291644319740191
AAMDC	-0.2408493340742024	3.993245156182632	-1.6810486087573266	0.09765281437040899	0.18524927368166152	-4.954729256137882
AAMP	0.016647747573599325	6.4170407592257215	0.18508764105384093	0.8537485784218043	0.8979098788621325	-6.375495046251995
AAR2	-0.1863652289091533	4.9115667953360465	-2.252145400118119	0.027769141214248647	0.07145434861906666	-3.993076727523491
AARS1	-0.1937422118287433	6.892004893182136	-2.0185504609693337	0.047750108497745206	0.10772029348989055	-4.414792458154827
AARS2	-0.11892822611873122	4.025512985525419	-1.1040262779596623	0.27373643521680163	0.40057040166619984	-5.723662555792437
AARSD1	-0.2194143203749137	5.0247571440668315	-2.1138239656702984	0.03845320914387184	0.09143161610705647	-4.275345263934513
AASDH	-0.08100602245423438	3.075141779975817	-0.6700415732758739	0.5052540604263802	0.6244362639247422	-5.947915402729629
AASDHPPT	-0.5386281449653829	4.611390786746997	-5.057795117953215	3.844460660176414e-06	0.0002456816032587635	4.1769281088786325
AASS	-0.3053796411600471	4.844708447721406	-1.5721664298711324	0.12086814105235567	0.21791378883345403	-5.200714609190498
AATBC	0.4961701484770662	-0.8950454955817609	2.1282002507387205	0.0371967280871175	0.0891126180908435	-3.6874849320442324
AATF	-0.1906510992335786	5.151130008452786	-1.8267551007398137	0.0724243549189087	0.14810084376293564	-4.806223278365046
AATK	0.3446498904606021	3.847865414519231	2.266795411699622	0.026807621383699586	0.06963793115882752	-3.870284915193965
ABAT	0.0024615031280159627	4.420472844290035	0.008587833896361278	0.9931748338566708	0.9954826047221481	-6.3632779606156715
ABCA1	0.051833934075363075	5.012851810124619	0.2947851571195849	0.7691169802142492	0.836212111303443	-6.364621603906596
ABCA10	1.1399198029370639	4.590475773032286	4.67753743573616	1.5593239645875638e-05	0.000502380536225732	2.86008376599467
ABCA11P	0.10247056039336302	0.3074663947485129	0.5518401340253305	0.5829895303280852	0.6901916914282866	-5.6006241464406585
ABCA17P	0.23266346355760814	-0.5408617488869697	0.9227013104565343	0.35964605047233944	0.4890759330138813	-5.266522996169098
ABCA2	0.3289384116488181	6.460472511651242	3.283857072006773	0.0016660999671354066	0.00930009575472528	-1.4813680963951867
ABCA3	0.1386367060092777	4.777060500262636	1.3007506936665945	0.19803160393899924	0.31482727043086806	-5.569183652000692
ABCA4	0.6438818839269875	-1.2139784544297916	2.562108751176852	0.012781074357390208	0.040242762306551605	-2.8685256430351807
ABCA5	-0.16732877099590482	5.252937166376954	-1.5432911495423538	0.12771578548182633	0.226815930837711	-5.260821589048382
ABCA6	0.8421813974592762	5.620925878990691	4.434624598738816	3.7243499757985547e-05	0.0007955354989570254	2.0245748709313203
ABCA7	0.27306748410516724	3.778644444679195	1.7617204173445842	0.08291666884808412	0.1637257960839178	-4.797178075480308
ABCA8	0.49939201633375596	7.12773018763038	2.5379554525683194	0.01360835078454975	0.04212160241843194	-3.324915723825204
ABCA9	0.8686986658809532	6.294352791556609	4.239986017176983	7.369856060629721e-05	0.0011666309354283276	1.3958742806988393
ABCB1	-0.19119496765621435	2.0125809411681885	-0.5476961510298924	0.5858153736584453	0.6925340238689096	-5.835502335964357
ABCB10	-0.22370845306234344	4.143970565004252	-2.987716304907085	0.0039884047866348225	0.01745165903963149	-2.2299428838690556
ABCB4	-0.2853604112788757	2.6484600103776343	-1.3600811531467158	0.17860027520616611	0.29130171974336244	-5.209320260059525
ABCB6	0.0037586945941092686	1.5289448087217392	0.026386654029641465	0.9790314619853915	0.9865917957930658	-5.90145674335861
ABCB7	-0.5920447475816095	4.996058179549067	-4.397975493137075	4.239610355043241e-05	0.0008606131922021762	1.909794807753313
ABCB8	-0.2196209565695293	5.140257716345323	-1.8760814489404551	0.06522908493445581	0.13693963227621525	-4.720294900587999
ABCB9	0.15007914730957816	3.4977352521325713	0.9508710473798706	0.3452652239167884	0.47557421165547337	-5.799429416165236
ABCC1	-0.03512260395152911	5.567317031038487	-0.3295244396680975	0.742840866138855	0.8180560847073446	-6.367269096194816
ABCC10	0.14714887016222633	4.307235479906435	0.9932455978029099	0.324349818799727	0.4542816479579671	-5.869121288764975
ABCC2	0.5036373528100914	-0.11166587300012723	3.097397941580694	0.002903205812044151	0.013829411980133013	-1.6924737215142196
ABCC3	0.41295021679820065	1.6258434913385194	1.028661505914508	0.3075304847552006	0.43667506503553216	-5.421747554235056
ABCC4	0.22298815444184417	3.1473028154317926	1.4222561658232806	0.1598321880672278	0.26789358321597195	-5.210101625094387
ABCC5	-0.37173493225636456	7.305609664293976	-1.7584161475644555	0.0834818130462274	0.16466265398131147	-4.842931087682782
ABCC6	0.8082390966404343	0.48589028643093873	2.4140394568223704	0.018662670454550234	0.053247530331733114	-3.2152128475942083
ABCC8	-0.13727761464267463	2.4668973408752253	-0.4433093047434562	0.6590446268465133	0.752301088672413	-5.961229831377053
ABCC9	-0.16032695813183828	6.28733383357472	-1.0080825728259375	0.3172303350198911	0.44670564676495184	-5.901779625374202
ABCD1	-0.0010912281018962133	4.664853586585781	-0.011364430428549191	0.9909682232639133	0.9942977023367131	-6.385287260813155
ABCD2	-0.8512072859003221	2.765070828352975	-2.3627958729864456	0.021204218156196043	0.058533742330130645	-3.5282879916844707
ABCD3	-0.868055423820187	6.099857599314383	-5.3647816899251355	1.2063943653279775e-06	0.00016012049657417233	5.264829347381612
ABCD4	0.5091130073280397	4.947531581582853	4.6842483350119455	1.5218407438780354e-05	0.0004985794285164982	2.873102417265237
ABCE1	-0.3885039212794128	5.424945046691612	-2.9966782344875216	0.0038872489170874765	0.017115137066473326	-2.272088011476696
ABCF1	-0.37720515457240644	6.314779904660954	-3.6575176719563993	0.0005182024649236527	0.004226452771953468	-0.41568289815956216
ABCF2	-0.34072006315196113	6.096337307659062	-2.9841069888695606	0.0040298309347147655	0.01755633931749151	-2.296167130172078
ABCF3	-0.3400452672192946	6.124551262098805	-3.7387480196110943	0.0003983700766051942	0.003559801958470544	-0.1786563492777491
ABCG1	0.3829199407852233	4.231052785326745	1.902585502441338	0.06161867343859867	0.13152903870967414	-4.61042618418507
