	logFC	AveExpr	t	P.Value	adj.P.Val	B
A1BG	-0.47682870117570203	-0.2973039127989838	-3.306200928524404	0.001208936874081802	0.01289520612541259	-1.0390497944696113
A2M	0.3406644058727579	7.4478300456096544	3.72721754447442	0.00028279444195707153	0.005217486400228081	-0.07791187474210037
A2M-AS1	0.233053768514009	0.05855477911644485	1.687465680868238	0.09380026796432996	0.21738215801233232	-4.718746620628914
A4GALT	0.3349419476951909	3.7990937994546283	2.9558322368216015	0.0036754444113522265	0.025569671541979536	-2.4085120907093396
AAAS	0.12573299410989414	4.793868449193255	1.9878585325104976	0.04883035695042978	0.14052961437860312	-4.737657132319991
AACS	-0.086248297752745	3.22223191393313	-1.1023349582772786	0.27225811380968984	0.44098187486589885	-5.927288007901559
AADAT	0.271274450134657	1.014447020555678	2.5268027008164045	0.012652979800392244	0.05737007142592173	-3.1886164701789643
AAGAB	-0.0962914620598676	5.27744147907999	-1.4818965858756283	0.1406753565034907	0.28484189791951803	-5.6014521148186285
AAK1	-0.11444416308518601	5.55291807922929	-1.2705794648414257	0.20604207478575004	0.36553924985546327	-5.887311233572959
AAMDC	0.12378311665901665	3.8310266781308315	0.6996869245085814	0.485314904201985	0.6450474006323992	-6.354599814583747
AAMP	-0.042280720353136125	6.152528409230269	-0.9708808627627494	0.3333268371203808	0.5026507074898917	-6.2078640272504915
AAR2	-0.19774677889786663	4.693421389724103	-3.3847568019310605	0.0009306883037191576	0.010896365805014763	-1.2149492055691278
AARS1	-0.13627687493509288	6.659359480453425	-1.939663610719552	0.054485343430494826	0.1515763882591868	-4.817278891983212
AARS2	0.08412205896379898	2.7649796810367704	0.840141845188839	0.40229971345608806	0.5719432325088198	-6.1152553262151885
AARSD1	-0.044982121827334964	5.1920492299323895	-0.8847337544011092	0.377857829290824	0.5468828304883258	-6.293289718872724
AASDH	-0.12128938699814329	2.756201172626942	-1.8724832000546416	0.06328149019697268	0.16825602905645812	-4.758829808284741
AASDHPPT	-0.03879815257917674	4.7499532856196724	-0.5879264052840765	0.5575542340179208	0.7033967426155129	-6.495070133925932
AASS	-0.060868405170098505	3.9396039289748686	-0.3687509018998777	0.7128853791265337	0.8182972313963025	-6.540061738641315
AATBC	0.1905051621901953	-0.8418006567059452	1.569867251973824	0.11876388719273846	0.25488330371365736	-4.793520420222932
AATF	-0.1856055194509958	5.158924556406977	-1.7225918929294026	0.0872297766468519	0.2072294474354517	-5.224286534603377
AATK	0.25927195825417326	0.3964613522096146	1.4730584832597793	0.14304013578408223	0.2875376302528983	-5.0789143229674885
ABAT	0.08373941335722113	1.7234577811961433	0.8566791673107054	0.39312541877687623	0.562713440561131	-5.952267800326431
ABCA1	0.37239203024664125	5.328031458880358	2.236768477857492	0.026925353440392666	0.09367007159022035	-4.246246929199533
ABCA10	0.20978002220380665	3.9893043392961838	1.5834969103506804	0.11562511191438775	0.25031629146662926	-5.3830187597178805
ABCA11P	0.2234366148871496	-0.631086528733501	1.946667611290291	0.05363070205401232	0.14996582070929643	-4.207239612531478
ABCA17P	-0.3551690272258433	-0.5955430480305113	-2.169725063144833	0.03176080281316402	0.10504400311804697	-3.7917347078772767
ABCA2	0.2156608864797116	5.290873997898635	3.259271284717312	0.0014104184911117425	0.014119567798546047	-1.6120033915707097
ABCA3	0.05519018342861326	4.270024846356799	0.6098789076851019	0.5429571318817117	0.6913359145842568	-6.452568982204134
ABCA5	0.05420470484336537	7.229161968827605	0.5378980861648643	0.5915243556998335	0.7307475343041517	-6.486958947964526
ABCA6	0.25280069246463155	3.715514107499363	2.264829998280901	0.025100431131785138	0.08944441632412901	-4.096027718225843
ABCA7	0.3735304922597136	4.195238503421248	2.3697633764636006	0.01920085769022468	0.07521573647336348	-3.9069587521538938
ABCA8	0.11769965210601185	4.398959507788033	0.822677739220108	0.4121277823356889	0.5811896112331407	-6.311551864949541
