"SUBJID","SAMPID","SMTS","SMNABTCH","SMNABTCHD","SMGEBTCHT","SMAFRZE","SMCENTER","SMRIN","SMATSSCR"
"GTEX-1117F","GTEX-1117F-0226-SM-5GZZ7","Adipose Tissue","BP-43693",2013-09-17,"TruSeq.v1","RNASEQ","B1",6.8,0
"GTEX-1117F","GTEX-1117F-0426-SM-5EGHI","Muscle","BP-43495",2013-09-12,"TruSeq.v1","RNASEQ","B1",7.1,0
"GTEX-1117F","GTEX-1117F-0526-SM-5EGHJ","Blood Vessel","BP-43495",2013-09-12,"TruSeq.v1","RNASEQ","B1",8,0
"GTEX-1117F","GTEX-1117F-0626-SM-5N9CS","Blood Vessel","BP-43956",2013-09-25,"TruSeq.v1","RNASEQ","B1",6.9,1
"GTEX-1117F","GTEX-1117F-0726-SM-5GIEN","Heart","BP-44261",2013-10-03,"TruSeq.v1","RNASEQ","B1",6.3,1
"GTEX-1117F","GTEX-1117F-1326-SM-5EGHH","Adipose Tissue","BP-43495",2013-09-12,"TruSeq.v1","RNASEQ","B1",5.9,1
"GTEX-1117F","GTEX-1117F-2226-SM-5N9CH","Ovary","BP-43956",2013-09-25,"TruSeq.v1","RNASEQ","B1",6.6,1
"GTEX-1117F","GTEX-1117F-2426-SM-5EGGH","Uterus","BP-44460",2013-10-08,"TruSeq.v1","RNASEQ","B1",6.3,1
"GTEX-1117F","GTEX-1117F-2526-SM-5GZY6","Vagina","BP-43693",2013-09-17,"TruSeq.v1","RNASEQ","B1",6.5,2
"GTEX-1117F","GTEX-1117F-2826-SM-5GZXL","Breast","BP-43507",2013-09-12,"TruSeq.v1","RNASEQ","B1",5.8,1
"GTEX-1117F","GTEX-1117F-2926-SM-5GZYI","Skin","BP-43693",2013-09-17,"TruSeq.v1","RNASEQ","B1",7.7,0
"GTEX-1117F","GTEX-1117F-3026-SM-5GZYU","Salivary Gland","BP-43693",2013-09-17,"TruSeq.v1","RNASEQ","B1",8.3,1
"GTEX-1117F","GTEX-1117F-3226-SM-5N9CT","Brain","BP-43956",2013-09-25,"TruSeq.v1","RNASEQ","B1",6.2,1
"GTEX-111CU","GTEX-111CU-0126-SM-5GZWZ","Adrenal Gland","BP-43693",2013-09-17,"TruSeq.v1","RNASEQ","B1",7.9,0
