License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
November 12 2015,819997,Dixie,Dog,Terrier,Mix,98125
March 24 2016,900605,Chloe,Dog,"Chihuahua, Short Coat",Mix,98125
May 21 2018,21081,Molly,Dog,"Retriever, Labrador","Poodle, Standard",98121
May 27 2018,283603,Whidbey,Dog,Terrier,"Retriever, Flat-Coated",98112
June 18 2018,359079,Chinook,Dog,"Retriever, Labrador",,98136
June 19 2018,S144848,Penny,Dog,"Retriever, Labrador",,98115
June 21 2018,215454,Peggy Sue,Dog,"Bulldog, French",,98126
July 08 2018,S144996,Summer,Dog,"Australian Shepherd, Miniature",Australian Cattle Dog,98177
July 10 2018,S112107,Tess,Dog,Border Collie,Australian Shepherd,98117
July 10 2018,S116838,Emmy,Dog,"Schnauzer, Miniature",,98144
July 10 2018,359128,Layla,Dog,"Retriever, Golden",,98199
August 30 2018,S145979,Ranee,Dog,Shih Tzu,,98144
September 08 2018,730695,Nancy,Dog,"Retriever, Nova Scotia Duck Tolling",,98119
September 17 2018,730387,Chloe,Dog,Terrier,Mix,98117
September 22 2018,S107300,Sophie,Dog,"Terrier, Rat",,98126
September 29 2018,8001379,Snow,Dog,Dutch Shepherd,,98125
September 29 2018,8001380,Abby,Dog,Retriever,Siberian Husky,98125
October 07 2018,80082,Ginger,Dog,"Retriever, Labrador",,98115
October 12 2018,8001796,Sunshine,Dog,"Chihuahua, Short Coat",Mix,98118
October 28 2018,8002270,Juno,Dog,"Retriever, Labrador",Mix,98102
November 05 2018,S101767,Roni,Dog,"Poodle, Toy",Mix,98107
November 16 2018,S123011,Sandy,Dog,Terrier,Mix,98106
November 17 2018,8001581,Phinnie,Dog,Bernese Mountain Dog,,98117
November 17 2018,8002845,Emi,Dog,Retriever,,98136
November 22 2018,8001584,Winnie,Dog,Schipperke,,98117
November 28 2018,905902,Lucia,Dog,"Retriever, Labrador","Poodle, Standard",98199
November 29 2018,S125723,Ellie,Dog,"Chihuahua, Long Coat","Dachshund, Miniature Smooth Haired",98106
December 07 2018,S101093,Betsy,Dog,Basenji,,98106
December 14 2018,960199,Kellee,Dog,"Retriever, Labrador",,98115
December 16 2018,8003870,Ella,Dog,"Retriever, Labrador",,98133
December 27 2018,137312,Lillie,Dog,Shih Tzu,,98116
January 02 2019,8004336,Penelope,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",Mix,98125
January 20 2019,S101177,Sophie,Dog,"Welsh Corgi, Cardigan",Terrier,98144
January 20 2019,S101178,Trixie,Dog,Terrier,Mix,98144
January 21 2019,8004883,Emma,Dog,"Retriever, Golden",,98103
January 26 2019,S107664,Millie,Dog,Havanese,,98105
February 20 2019,23834,Sierra,Dog,"Retriever, Labrador",Mix,98117
February 25 2019,28716,Riley,Dog,"Terrier, Border",,98107
February 27 2019,8005923,Lady Kassandra Yu Countess of Wallingford DBE,Dog,Border Collie,German Shepherd,98103
March 09 2019,8006196,Bella Noche,Dog,"Bulldog, French","Spaniel, Cavalier King Charles",98136
March 11 2019,358115,Skookum,Dog,"Retriever, Labrador",Rhodesian Ridgeback,98118
March 14 2019,960111,Nisse,Dog,Border Collie,,98107
March 17 2019,27297,Lexie,Dog,"Retriever, Golden",,98102
March 21 2019,8006598,Darcy,Dog,German Shepherd,,98125
March 26 2019,S145774,Shorty,Dog,"Terrier, Boston",,98109
March 29 2019,727958,Sylvie,Dog,Xoloitzcuintli,,98125
April 09 2019,138004,Sally,Dog,"Terrier, Fox, Wire",,98103
April 09 2019,S132899,Minnie,Dog,"Chihuahua, Short Coat",Mix,98116
April 27 2019,S131990,Lucy,Dog,"Chihuahua, Short Coat","Terrier, Jack Russell",98101
May 12 2019,726475,LuluBelle,Dog,"Bulldog, French",,98118
May 20 2019,8006773,Anna,Dog,Shiba Inu,"Terrier, Rat",98126
May 21 2019,8008229,Winnie Greybear,Dog,"Retriever, Labrador",,98121
June 11 2019,S151480,Isabella,Dog,Australian Shepherd,Mix,98117
